MATERIAL,polyurethane,pulp,polyester,olefin copolymer,diene rubber,EVA,thermoplastic elastomer,nylon,carbon black,PPG,other,upper,midsole,outsole,trusstic,gel,socklining,other (sole),other (including packaging),raw materials,manufacturing,post-industrial waste,shoe use,whole shoe reuse,repair,landfill,takeback and collection,material reuse in other industries,shoe breakdown to material
mass of shoe component (incl. packaging) (%),0.25,0.21,0.11,0.09,0.08,0.06,0.03,0.03,0.02,0.01,0.11,0.23,0.18,0.14,0.07,0.07,0.06,0.03,0.22,500,500,500,500,500,500,500,500,500,500
GWP (kg CO2-eq.) impact of materials (%),0.34,0.04,0.23,0.06,0.06,0.03,0.04,0.06,0.01,0.01,0.12,0.41,0.11,0.09,0.09,0.1,0.1,0.04,0.06,500,500,500,500,500,500,500,500,500,500
